6435060	6.25	51.75
2912600	67.75	66.75
2998510	158.75	68.75
1812500	-12.25	14.75
4351900	-98.75	26.25
2919200	51.25	51.25
4152050	-114.75	32.75
4115200	-121.25	45.75
2335950	68.25	24.75
2856900	81.25	17.75
5204251	142.25	-33.75
3651805	-44.25	-15.75
1159100	17.75	-28.75
5404270	140.75	-34.25
6742500	25.75	43.75
1537100	15.25	11.75
2854300	80.25	16.75
1286900	37.75	-7.75
2906900	136.75	50.25
2903420	126.75	70.25
3206720	-63.75	8.25
2911097	68.25	58.25
1896501	33.25	-24.75
2969101	105.25	16.25
2916200	67.25	43.75
1531700	0.25	6.25
2909150	87.25	66.25
2651100	89.75	24.25
2181900	117.75	31.25
2917110	65.25	37.75
1891500	32.75	-15.75
4127800	-91.25	31.75
1147010	16.25	-3.25
1357100	22.75	-19.25
3649950	-49.25	-4.75
2646200	88.25	24.75
4208025	-132.75	67.25
2180800	114.75	34.75
4103200	-163.75	62.75
